geoId,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
SK,0.10377803090788168,0.09991404199871677,0.12011499652999288,0.15524879557143206,0.1577758838810523,0.1299017170170284,0.12733634781614842,0.0730287676318763,0.032901418645871164
UA,0.10494206546480489,0.10023188265156899,0.11200708816271657,0.16483737425817888,0.1464864705547035,0.13506126925883502,0.12667230365448345,0.06821800979879182,0.04154353619591675
DK,0.10462841167686976,0.11669963915284048,0.13396664447016102,0.11606810051374236,0.12744839916694908,0.13986491840841905,0.1130019096361091,0.10119431242309704,0.04712766455181216
EE,0.10829760753358927,0.10364414465010073,0.10972462927965176,0.14596706165442552,0.13941391847506932,0.12459716600868877,0.12775500757987512,0.08098442639078081,0.059616038427818555
FI,0.1026363370234688,0.10949122478350279,0.12134763039736005,0.12752498863865658,0.11903872386214202,0.13004722492644455,0.12856185786751825,0.10521885430732981,0.056133158193577073
IS,0.12621245421245422,0.13101245421245422,0.14006739926739928,0.13735091575091576,0.1259076923076923,0.12340219780219781,0.1099956043956044,0.06861538461538462,0.03743589743589744
IE,0.13608156351538214,0.1354343111785096,0.11489680821159885,0.1409389938344962,0.15456855649767628,0.12170065348993761,0.09736834004482972,0.06696570696723801,0.03204506626033153
LV,0.11015204097970419,0.10005503122147044,0.09978941810050038,0.1395513311935837,0.13460223242261432,0.14009210042190604,0.1326178214210355,0.08626011424015032,0.0568799099990351
LT,0.11044925028220713,0.089204644176541,0.11640122235279036,0.1240003364812946,0.13073877847739274,0.15448679072149155,0.1296007664132894,0.08202025426378003,0.06309795683121311
NO,0.11331776002620803,0.11861322553023829,0.13398830009802185,0.13626471572381385,0.13372028033428504,0.13142892348284768,0.10812208715272258,0.08235160872729903,0.042193098924563785
SE,0.11822151502039256,0.11160479915875107,0.12643785144866904,0.13073212222269529,0.12516973999110828,0.12839017077471934,0.10831159083775362,0.09844711548458453,0.052685095061326216
GB,0.11849358521677016,0.11257803596747276,0.12607469133107319,0.1369210654967996,0.12674558072382638,0.13513043130363073,0.10733842869879334,0.08588861704100303,0.05082956422063081
AL,0.11600250191118217,0.12571339217457783,0.16425012162068248,0.1357887969977066,0.11224511779831817,0.13416185975397876,0.11475502119674752,0.06764472861213428,0.02943845993467232
BA,0.08998130037810725,0.10554542087865361,0.12291823830359225,0.13971680817114038,0.13647157794633344,0.15245663044091176,0.14136578868360453,0.07391395125906214,0.03763028393859452
HR,0.0939709660855272,0.09941031864423956,0.11502294125499239,0.13136560146621368,0.13567981432637286,0.1416187688599137,0.13772011961216662,0.0881684216475027,0.057043048103071474
GR,0.08453633943826071,0.1025471800209075,0.10143052095278006,0.12822678876521432,0.15105061317909066,0.14445801691941404,0.12061357053056225,0.09172770442756904,0.07540926576620138
IT,0.08261402549721122,0.09482756624559878,0.10094693134319391,0.11574962635929564,0.1492181810976671,0.1582352422424277,0.12379483465170783,0.09971428584660058,0.07489930671629709
